club_name,league_name
FC Hansa Rostock,German 3. Bundesliga
Rodez Aveyron Football,French Ligue 2
FC Sochaux-Montbéliard,French Ligue 2
Gaz Metan Mediaş,Romanian Liga I
MSV Duisburg,German 3. Bundesliga
River Plate Montevideo,Uruguayan Primera División
Milton Keynes Dons,English League One
SCR Altach,Austrian Football Bundesliga
Lincoln City,English League One
Lyngby BK,Danish Superliga
Oxford United,English League One
Wycombe Wanderers,English League Championship
C.D. Castellón,Spanish Segunda División
Always Ready,Liga de Fútbol Profesional Boliviano
AS Nancy Lorraine,French Ligue 2
RKC Waalwijk,Holland Eredivisie
Hibernian,Scottish Premiership
TSV Hartberg,Austrian Football Bundesliga
Deportivo Pasto,Colombian Liga Postobón
Delfín SC,Ecuadorian Serie A
FC Voluntari,Romanian Liga I
Jorge Wilstermann,Liga de Fútbol Profesional Boliviano
FC Botoşani,Romanian Liga I
FC Chambly Oise,French Ligue 2
Nacional Potosí,Liga de Fútbol Profesional Boliviano
FC Hermannstadt,Romanian Liga I
Club Blooming,Liga de Fútbol Profesional Boliviano
CD Huachipato,Chilian Campeonato Nacional
SV Waldhof Mannheim,German 3. Bundesliga
CE Sabadell FC,Spanish Segunda División
Newcastle Jets,Australian Hyundai A-League
Seongnam FC,Korean K League Classic
FSV Zwickau,German 3. Bundesliga
Hallescher FC,German 3. Bundesliga
Waasland-Beveren,Belgian Jupiler Pro League
IK Sirius,Swedish Allsvenskan
SV Ried,Austrian Football Bundesliga
SKN St. Pölten,Austrian Football Bundesliga
Örebro SK,Swedish Allsvenskan
Peterborough United,English League One
Vejle Boldklub,Danish Superliga
Pau FC,French Ligue 2
WSG Tirol,Austrian Football Bundesliga
Brisbane Roar,Australian Hyundai A-League
Ipswich Town,English League One
IK Start,Norwegian Eliteserien
Kalmar FF,Swedish Allsvenskan
Sarpsborg 08 FF,Norwegian Eliteserien
Livingston FC,Scottish Premiership
St. Mirren,Scottish Premiership
Fleetwood Town,English League One
FC Lausanne-Sport,Swiss Super League
Sagan Tosu,Japanese J. League Division 1
TSV 1860 München,German 3. Bundesliga
Busan IPark,Korean K League Classic
Stal Mielec,Polish T-Mobile Ekstraklasa
Mjøndalen IF,Norwegian Eliteserien
Centro Atlético Fénix,Uruguayan Primera División
Wisła Płock,Polish T-Mobile Ekstraklasa
SV Meppen,German 3. Bundesliga
Estudiantes de Mérida,Venezuelan Primera División
Sport Huancayo,Peruvian Primera División
Crewe Alexandra,English League One
Yokohama FC,Japanese J. League Division 1
Blackpool,English League One
Aalesunds FK,Norwegian Eliteserien
FK Haugesund,Norwegian Eliteserien
KFC Uerdingen 05,German 3. Bundesliga
Plymouth Argyle,English League One
Bristol Rovers,English League One
AC Horsens,Danish Superliga
Politehnica Iaşi,Romanian Liga I
Salford City,English League Two
Warta Poznań,Polish T-Mobile Ekstraklasa
Northampton Town,English League One
Burton Albion,English League One
Central Coast Mariners,Australian Hyundai A-League
Al Adalah,Saudi Abdul L. Jameel League
AC Mineros de Guayana,Venezuelan Primera División
USL Dunkerque,French Ligue 2
Sportivo Luqueño,Paraguayan Primera División
UTA Arad,Romanian Liga I
Chindia Târgovişte,Romanian Liga I
Caracas FC,Venezuelan Primera División
Bayern München II,German 3. Bundesliga
Strømsgodset IF,Norwegian Eliteserien
Southend United,English League Two
FC Admira Wacker Mödling,Austrian Football Bundesliga
Exeter City,English League Two
Gillingham,English League One
Hamilton Academical FC,Scottish Premiership
Bradford City,English League Two
Rochdale,English League One
Forest Green Rovers,English League Two
Dundee United,Scottish Premiership
1. FC Magdeburg,German 3. Bundesliga
Shrewsbury,English League One
FC Argeș,Romanian Liga I
Türkgücü München,German 3. Bundesliga
Cambridge United,English League Two
Swindon Town,English League One
Grimsby Town,English League Two
Carlisle United,English League Two
Port Vale,English League Two
Tranmere Rovers,English League Two
Colchester United,English League Two
Bolton Wanderers,English League Two
VfB Lübeck,German 3. Bundesliga
Accrington Stanley,English League One
Cheltenham Town,English League Two
FC Vaduz,Swiss Super League
1. FC Saarbrücken,German 3. Bundesliga
Östersunds FK,Swedish Allsvenskan
Mjällby AIF,Swedish Allsvenskan
Academica Clinceni,Romanian Liga I
Aragua FC,Venezuelan Primera División
Bohemian FC,Rep. Ireland Airtricity League
Barrow,English League Two
AFC Wimbledon,English League One
SC Verl,German 3. Bundesliga
Ross County FC,Scottish Premiership
Newport County,English League Two
Sandefjord Fotball,Norwegian Eliteserien
Mansfield Town,English League Two
Crawley Town,English League Two
Falkenbergs FF,Swedish Allsvenskan
Varbergs BoIS,Swedish Allsvenskan
Walsall,English League Two
Oldham Athletic,English League Two
Scunthorpe United,English League Two
Leyton Orient,English League Two
Stevenage,English League Two
Podbeskidzie Bielsko-Biała,Polish T-Mobile Ekstraklasa
Morecambe,English League Two
Derry City,Rep. Ireland Airtricity League
Llaneros de Guanare,Venezuelan Primera División
Sligo Rovers,Rep. Ireland Airtricity League
Cork City,Rep. Ireland Airtricity League
St. Patricks Athletic,Rep. Ireland Airtricity League
Zamora FC,Venezuelan Primera División
Shelbourne FC,Rep. Ireland Airtricity League
Harrogate Town,English League Two
Waterford FC,Rep. Ireland Airtricity League
Finn Harps,Rep. Ireland Airtricity League
